"Respondent ID","Survey Year","age","Gender","Race / ethnicity","education","Marital Status","region","employment status","hours_worked","Household Income","Self Rated Health","smoking_status","Physical Activity Days","survey weight","Interview Mode"
10001,2024,71,"Male","White","High school","Married","Midwest","-9","21","27000","Fair","","0","1.05","Mail"
10002,2024,46,"MALE","Asian","Some college","Widowed","Northeast","employed full time","34","173000","Very good","Former","3","0.84","PHONE"
10003,2024,62,"Female","Multiracial","-8","Married","Northeast","Employed part time","29","$176,000","Fair","Former","2","2.00","Mail"
10004,2024,50,"female","Black","Less than HS","Living with partner","-9","-9","43","174000","Excellent","Never","2","1.90","In person"
10005,2024,23,"Male","BLACK","BA","Married","Mountain West","Employed full time","18","72000","Very good","Never","Not asked","0.53","In person"
10006,2024,79,"Male","Black","High school","Married","Northeast","-9","15","97000","Fair","Former","1","0.61","Web"
10007,2024,57,"Female","Other","High school","Widowed","West","Employed full time","46","$ 40,000","excellent","Current","1","1.95","Phone"
10008,2024,79,"female","White","ba","Never married","Midwest","Employed full time","19","$ 97,000","Very good","Current","6","0.82","In person"
10009,2024,67,"FEMALE","White","BA","Never married","South","Employed full time","5","145000","Excellent","Never","-9","1.47","In person"
10010,2024,75,"Male","Latina/o/x","High school","Separated","South","Retired","-8","90000","Fair","Current","3","1.19","-8"
10011,2024,62,"female","Latina/o/x","Less than HS","-9","West","Employed full time","23","112000","Very good","Current","0","2.06","Mail"
10012,2024,58,"-9","white","High school","Married","West","Employed full time","-8","$177,000","Poor","Never","2","2.67","In person"
10013,2024,77,"MALE","White","High school","Married","Northeast","Employed full time","20","170000","Good","Current","4","2.20","Phone"
10014,2024,59,"female","Black","Some college","Divorced","west","-9","45","$101,000","Excellent","Current","1","2.29","Mail"
10015,2024,53,"male","White","BA","Never married","West","Employed part time","58","58000","Good","Current","0","2.62","Phone"
10016,2024,51,"Female","White","ba","Married","West","Employed full time","6","$ 81,000","Fair","Never","4","1.76","Web"
10017,2024,61,"male","white","Some college","Married","Midwest","Not in labor force","34","22000","Very good","Never","4","0.83","Phone"
10018,2024,85,"Male","Multiracial","Some college","married","South","Employed part time","23","129000","Very good","Never","5","1.19","Phone"
10019,2024,21,"Male","white","High school","Living with partner","West","Employed full time","14","40000","Very good","Former","0","1.37","Phone"
10020,2024,22,"Nonbinary","Asian","High school","Married","South","Employed full time","9","48000","Good","Occasional","4","","Web"
10021,2024,80,"Female","Black","High school","Never married","South","Unemployed","3","184000","Poor","Former","2","2.31","In person"
10022,2024,33,"Female","Other","Graduate","Divorced","West","Not in labor force","54","31000","Fair","Never","3","2.05","Phone"
10023,2024,22,"FEMALE","White","BA","Divorced","Midwest","Employed full time","28","86000","excellent","Current","eight","2.60","Web"
10023,2024,39,"male","White","Some college","Married","Midwest","Employed part time","46","1e+05","Poor","Never","-9","2.57","Web"
10025,2024,47,"","White","High school","Married","Midwest","Employed full time","10","95000","Fair","Never","eight","2.25","Phone"
10026,2024,86,"Male","Native American","BA","Never married","Midwest","Retired","57","114000","Very good","Never","0","-9","Phone"
10027,2024,69,"Male","Latina/o/x","High school","Married","South","Unemployed","45","152000","Very good","Current","3","2.51","In person"
10028,2024,81,"male","White","Some college","Divorced","South","Not in labor force","49","72000","Good","Current","6","","In person"
10029,2024,47,"Nonbinary","Latina/o/x","Graduate","Never married","West","Retired","58","$ 22,000","Good","Never","7","1.68","Phone"
10030,2024,38,"Nonbinary","Latina/o/x","Less than HS","Married","Northeast","employed full time","6","55000","Very good","Former","0","0.35","PHONE"
10031,2024,20,"male","White","High school","Never married","Midwest","Student","40","146000","Good","Never","eight","0.99","Web"
10032,2024,41,"Female","Black","High school","-9","South","Retired","31","$ 83,000","Fair","","7","2.56","In person"
10033,2024,48,"Female","White","High school","Never married","South","-8","57","","Very good","Former","Not asked","0.51","Web"
10034,2024,25,"male","Latina/o/x","Graduate","Never married","Northeast","Employed full time","21","94000","Good","Never","1","2.20","In person"
10035,2024,52,"FEMALE","Asian","Some college","Divorced","Midwest","Not in labor force","12","69000","excellent","current","-9","-9","Phone"
10036,2024,18,"Male","White","High school","Living with partner","West","Employed full time","13","999999","Excellent","Never","6","2.73","PHONE"
10037,2024,64,"Male","Other","Graduate","Never married","West","Retired","26","126000","Fair","Former","3","2.30","Web"
10038,2024,34,"Male","Asian","High school","Living with partner","Midwest","Employed full time","24","41000","Excellent","Never","eight","2.62","Phone"
